"","82-breast-1","82-brain-1","82-brain-2"
"1/2-SBSRNA4",0,0,1
"A1BG",0,7,4
"A1BG-AS1",0,0,0
"A1CF",0,0,0
"A2LD1",0,6,12
"A2M",0,1,0
"A2ML1",1,4,5
"A2MP1",0,0,0
"A4GALT",1,0,0
"A4GNT",0,0,0
"AA06",0,0,0
"AAA1",0,0,0
"AAAS",2,95,146
"AACS",5,25,57
"AACSP1",0,0,0
"AADAC",0,1,2
"AADACL2",0,0,0
"AADACL3",0,0,0
"AADACL4",0,0,0
"AADAT",0,0,0
"AAGAB",4,205,382
"AAK1",0,14,17
"AAMP",6,267,405
"AANAT",0,0,0
"AARS",4,230,400
"AARS2",0,43,83
"AARSD1",0,60,48
"AASDH",0,19,40
"AASDHPPT",3,100,133
"AASS",0,3,3
"AATF",3,184,215
"AATK",0,0,0
"AATK-AS1",0,0,0
"ABAT",0,40,52
"ABCA1",0,14,16
"ABCA10",0,1,1
"ABCA11P",0,15,25
"ABCA12",0,68,119
"ABCA13",0,0,0
"ABCA17P",0,3,1
"ABCA2",0,4,8
"ABCA3",0,43,49
"ABCA4",0,11,21
"ABCA5",0,2,2
"ABCA6",0,0,0
"ABCA7",0,6,9
"ABCA8",0,0,0
"ABCA9",0,2,0
"ABCB1",0,0,0
"ABCB10",2,25,16
"ABCB11",0,0,0
"ABCB4",0,0,6
"ABCB5",0,1,1
"ABCB6",0,22,51
"ABCB7",3,29,33
"ABCB8",7,76,143
"ABCB9",0,11,14
"ABCC1",0,0,0
"ABCC10",0,33,54
"ABCC11",1,41,62
"ABCC12",0,0,0
"ABCC13",0,1,0
"ABCC2",0,11,7
"ABCC3",1,30,56
"ABCC4",0,0,0
"ABCC5",0,22,41
"ABCC6",1,18,24
"ABCC6P1",0,0,0
"ABCC6P2",0,0,0
"ABCC8",0,3,3
"ABCC9",0,11,6
"ABCD1",0,2,1
"ABCD2",0,0,0
"ABCD3",5,94,214
"ABCD4",4,26,41
"ABCE1",5,111,153
"ABCF1",7,281,256
"ABCF2",3,113,244
"ABCF3",4,86,124
"ABCG1",0,20,20
"ABCG2",0,0,0
"ABCG4",0,0,0
